               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079265,            0.029526,            0.030871,           0.0007716,                0.05,          0.00048661,          9.7321e-05,            0.076632,            0.025434,             0.03817,              0.0991,              0.0001,              0.0001
                   1,             0.07979,            0.029025,            0.031641,          0.00074405,                0.05,          0.00048461,          9.6922e-05,            0.075493,            0.025087,            0.038111,            0.097297,          0.00029703,          0.00029703
                   2,            0.077256,            0.031031,            0.031374,          0.00072254,                0.05,          0.00052477,          5.2477e-05,            0.073524,            0.024732,            0.037701,             0.09549,           0.0004901,           0.0004901
                   3,            0.097795,            0.029201,            0.036314,          0.00071023,                0.05,          0.00074755,          0.00014951,            0.070843,            0.024642,            0.037022,            0.093679,          0.00067921,          0.00067921
                   4,            0.097186,             0.02834,             0.04063,           0.0011364,                 0.1,           0.0028795,          0.00088433,            0.068466,            0.024439,            0.036335,            0.091864,          0.00086436,          0.00086436
                   5,            0.063764,             0.02855,            0.032562,           0.0017983,              0.1625,           0.0063925,           0.0013968,            0.060758,            0.024775,            0.034926,            0.090046,           0.0010455,           0.0010455
                   6,            0.064261,            0.032155,            0.029166,           0.0025692,               0.225,           0.0093652,           0.0027763,            0.053135,            0.025328,            0.033602,            0.088223,           0.0012228,           0.0012228
                   7,            0.085803,            0.031609,            0.037298,           0.0045973,              0.5875,           0.0083652,           0.0021412,            0.048806,            0.025766,            0.032953,            0.086396,            0.001396,            0.001396
                   8,             0.10374,            0.027855,            0.057601,           0.0042972,              0.5875,             0.02662,           0.0069681,            0.048725,            0.025997,            0.032771,            0.084565,           0.0015654,           0.0015654
                   9,            0.086954,            0.028375,             0.04069,            0.005492,                 0.7,            0.050908,            0.014303,            0.047421,            0.026057,            0.032377,            0.082731,           0.0017307,           0.0017307
                  10,            0.076092,            0.032342,            0.038734,           0.0059022,             0.78333,            0.020272,             0.00621,            0.042892,            0.027215,             0.03179,            0.080892,           0.0018921,           0.0018921
                  11,            0.058515,            0.032975,            0.028728,            0.006659,             0.91667,            0.050654,            0.013475,            0.041733,            0.026985,             0.02988,             0.07905,           0.0020495,           0.0020495
                  12,            0.080841,            0.029572,            0.045068,           0.0072224,                0.95,            0.078309,            0.028765,             0.04561,            0.026566,            0.029846,            0.077203,            0.002203,            0.002203
                  13,            0.065878,            0.027198,            0.042249,           0.0072502,                0.95,             0.08412,            0.030043,            0.043776,             0.02667,             0.02894,            0.075353,           0.0023525,           0.0023525
